Contract_number_masked,Customer_ID_masked,Customer_segment,Line_of_business,Product_type,Annual_premium,Payment_frequency,Customer_age,Customer_type,Customer_region,Customer_province,Customer_urbanization,Broker_region,Broker_province,Broker_urbanization,Broker_cor,probability_direct_debit
VFL***077,942***0.0,Retail,P - Liability,P01 - FAMILY P,64.38,Quarterly,D = 40-69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,114989841.0,0.4926540472913515
JPB***261,599***9.0,Retail,P - Liability,P01 - FAMILY P,56.14,Quarterly,S = +69,Physical person,FLA,VOV,Rural,FLA,VOV,Rural,6391674023.0,0.4814412434504494
COD***104,965***3.0,Retail,P - Liability,P01 - FAMILY P,56.39,Quarterly,S = +69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,9314985846.0,0.4755025169215378
RJK***533,918***1.0,Retail,P - Liability,P01 - FAMILY P,59.97,Quarterly,C = 30-39,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,8611614078.0,0.47407061081911556
KMF***150,955***5.0,Retail,P - Liability,P01 - FAMILY P,20.73,Quarterly,C = 30-39,Physical person,FLA,VOV,Rural,FLA,VOV,Rural,7571641514.0,0.47072414781869765
GUF***508,867***5.0,Retail,P - Liability,P01 - FAMILY P,90.83,Quarterly,S = +69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,4328455693.0,0.464736592507963
ZVH***544,434***8.0,Retail,P - Liability,P01 - FAMILY P,62.22,Quarterly,D = 40-69,Physical person,FLA,VOV,Rural,FLA,VOV,Urban,854198632.0,0.46214569114734194
VTR***693,318***4.0,Retail,P - Liability,P01 - FAMILY P,74.82,Quarterly,D = 40-69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,6788505685.0,0.45267645351559405
ZZI***418,812***0.0,Retail,P - Liability,P01 - FAMILY P,93.55,Quarterly,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,5733737915.0,0.4487316663771626
AIZ***704,882***2.0,Retail,P - Liability,P01 - FAMILY P,86.98,Quarterly,D = 40-69,Physical person,FLA,VOV,Rural,FLA,VOV,Rural,8196603272.0,0.4450548442834649
BWW***753,948***3.0,Retail,P - Liability,P01 - FAMILY P,57.8,Quarterly,D = 40-69,Physical person,FLA,VOV,Rural,FLA,VOV,Urban,8905656238.0,0.44497925060107313
QNL***268,822***2.0,Retail,P - Liability,P01 - FAMILY P,67.0,Quarterly,D = 40-69,Physical person,FLA,VOV,Rural,FLA,VOV,Urban,6644939670000000.0,0.4432550860331768
WTU***785,953***9.0,Retail,P - Liability,P01 - FAMILY P,106.34,Quarterly,C = 30-39,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,8987608986.0,0.44093753177191436
VES***577,493***7.0,Retail,P - Liability,P01 - FAMILY P,90.81,Quarterly,D = 40-69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,5371811787.0,0.4401618070858215
RNA***833,820***5.0,Retail,I - Property,I01 - HABITAT.,77.14,Quarterly,S = +69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,7776034720000000.0,0.43962055094777974
PWV***517,752***0.0,Retail,P - Liability,P01 - FAMILY P,70.15,Quarterly,S = +69,Physical person,FLA,VOV,Rural,FLA,VOV,Rural,7363826771.0,0.4391520651319488
RBC***158,953***6.0,Retail,P - Liability,P01 - FAMILY P,57.8,Quarterly,D = 40-69,Physical person,FLA,VWV,Rural,FLA,VWV,Urban,8718102157.0,0.43697178773162626
IDO***319,955***9.0,Retail,P - Liability,P01 - FAMILY P,62.03,Quarterly,D = 40-69,Physical person,FLA,VOV,Urban,FLA,VOV,Rural,7571641514.0,0.4365036154447238
GHB***079,800***7.0,Retail,P - Liability,P01 - FAMILY P,93.55,Quarterly,D = 40-69,Physical person,FLA,VWV,Rural,FLA,VWV,Urban,6049249703.0,0.43169194976037173
NCC***479,305***1.0,Retail,P - Liability,P01 - FAMILY P,70.15,Quarterly,D = 40-69,Physical person,FLA,VWV,Urban,FLA,VWV,Urban,7384032353.0,0.4316048866473959
RMS***529,958***4.0,Retail,P - Liability,P01 - FAMILY P,56.12,Quarterly,S = +69,Physical person,FLA,VWV,Urban,FLA,VWV,Urban,8718102157.0,0.42915852566760854
ZID***288,918***9.0,Retail,N - Accident,N05 - IND CIRC,67.81,Quarterly,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WLG,Rural,9736182342.0,0.4291351402166188
OEU***819,936***3.0,Retail,N - Accident,N05 - IND CIRC,48.23,Quarterly,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,1097004192.0,0.4285900736460644
LBC***853,849***7.0,Retail,P - Liability,P01 - FAMILY P,72.64,Quarterly,D = 40-69,Physical person,FLA,VOV,Rural,FLA,VOV,Rural,8575015432.0,0.42664653054711565
ERH***898,952***0.0,Retail,P - Liability,P01 - FAMILY P,61.59,Quarterly,D = 40-69,Physical person,FLA,VWV,Rural,FLA,VWV,Rural,8231207162.0,0.4254423423572737
GYA***792,953***8.0,Retail,P - Liability,P01 - FAMILY P,68.44,Quarterly,D = 40-69,Physical person,FLA,VOV,Urban,FLA,VOV,Urban,6093130059.0,0.4252754303220802
AHL***239,961***9.0,Retail,P - Liability,P01 - FAMILY P,58.17,Quarterly,D = 40-69,Physical person,FLA,VWV,Rural,FLA,VWV,Rural,8231207162.0,0.4242728247786038
IXW***540,950***7.0,Retail,P - Liability,P01 - FAMILY P,66.35,Quarterly,D = 40-69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,114989841.0,0.421898243727505
DOT***949,969***1.0,Retail,N - Accident,N05 - IND CIRC,58.05,Quarterly,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.41488941073957314
KHM***758,918***1.0,Retail,I - Property,I01 - HABITAT.,94.0,Quarterly,C = 30-39,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,8611614078.0,0.4136051037963906
PQG***510,939***5.0,Retail,P - Liability,P01 - FAMILY P,59.04,Quarterly,D = 40-69,Physical person,FLA,VWV,Rural,FLA,VWV,Rural,100233583.0,0.41239282199510696
BSS***270,861***2.0,Retail,P - Liability,P01 - FAMILY P,84.19,Quarterly,D = 40-69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,114989841.0,0.41237882078249755
PBB***669,874***1.0,Retail,P - Liability,P01 - FAMILY P,90.83,Quarterly,C = 30-39,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,8808502235.0,0.41190198450354487
YZD***660,968***5.0,Retail,P - Liability,P01 - FAMILY P,93.54,Quarterly,D = 40-69,Physical person,FLA,VWV,Urban,FLA,VWV,Rural,8231207162.0,0.41106943057365447
KQH***398,916***7.0,Retail,P - Liability,P01 - FAMILY P,91.27,Quarterly,D = 40-69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,7149399044.0,0.4084611688056977
JLC***131,948***0.0,Retail,P - Liability,P01 - FAMILY P,47.91,Quarterly,C = 30-39,Physical person,FLA,VWV,Urban,FLA,VWV,Rural,8231207162.0,0.40559436715990654
NVD***041,889***4.0,Retail,P - Liability,P01 - FAMILY P,71.9,Quarterly,D = 40-69,Physical person,FLA,VWV,Rural,FLA,VWV,Rural,7448772459999990.0,0.4055252289254033
ASZ***954,873***6.0,Retail,N - Accident,N05 - IND CIRC,55.81,Quarterly,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WHT,Rural,1038002928.0,0.4049568658376143
LJX***791,363***9.0,Retail,P - Liability,P01 - FAMILY P,72.5,Quarterly,D = 40-69,Physical person,FLA,VOV,Urban,FLA,VOV,Rural,8514348448.0,0.4039058166321595
VRK***183,907***3.0,Retail,A - Motor,A01 - TA/PRIVE,313.89,Quarterly,S = +69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,8028972478.0,0.40389098994230493
FXU***896,936***7.0,Retail,P - Liability,P01 - FAMILY P,56.12,Quarterly,S = +69,Physical person,FLA,VLI,Rural,FLA,VLI,Urban,9315227891.0,0.4028705104602255
BUH***262,902***9.0,Retail,P - Liability,P01 - FAMILY P,66.35,Quarterly,D = 40-69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,8287951798.0,0.4008424821626655
PJH***059,837***0.0,Retail,N - Accident,N05 - IND CIRC,54.08,Quarterly,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WHT,Rural,7237256931.0,0.40070051929341083
MZV***017,963***0.0,Retail,P - Liability,P01 - FAMILY P,68.44,Quarterly,D = 40-69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,9314985846.0,0.4004482627601089
TUG***060,401***7.0,Retail,P - Liability,P01 - FAMILY P,90.82,Quarterly,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,1097004192.0,0.4001924540339891
VBL***466,959***7.0,Retail,P - Liability,P01 - FAMILY P,80.54,Quarterly,D = 40-69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,114989841.0,0.39756810143369536
FEG***838,867***5.0,Retail,I - Property,I01 - HABITAT.,73.19,Quarterly,S = +69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,4328455693.0,0.39686016829249476
JUE***329,861***1.0,Retail,P - Liability,P01 - FAMILY P,93.09,Quarterly,D = 40-69,Physical person,FLA,VOV,Urban,WAL,WHT,Rural,8683563283.0,0.3947646915296557
IKK***112,898***0.0,Retail,P - Liability,P01 - FAMILY P,93.55,Quarterly,D = 40-69,Physical person,FLA,VOV,Urban,FLA,VOV,Urban,7671310770000000.0,0.39471480581971563
PHM***847,910***5.0,Retail,P - Liability,P01 - FAMILY P,93.09,Quarterly,C = 30-39,Physical person,WAL,WBR,Rural,WAL,WNA,Rural,8688137046.0,0.3946899114226954
IOR***058,305***1.0,Retail,N - Accident,N05 - IND CIRC,138.26,Quarterly,D = 40-69,Physical person,FLA,VWV,Urban,FLA,VWV,Urban,7384032353.0,0.3937822750866377
FON***644,803***6.0,Retail,P - Liability,P01 - FAMILY P,90.82,Quarterly,D = 40-69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,9012315535.0,0.3935732076295477
DPP***647,939***4.0,Retail,P - Liability,P01 - FAMILY P,90.82,Quarterly,D = 40-69,Physical person,FLA,VOV,Urban,FLA,VOV,Rural,128989164.0,0.39249399891601455
LVB***605,928***4.0,Retail,P - Liability,P01 - FAMILY P,77.17,Quarterly,D = 40-69,Physical person,FLA,VWV,Urban,FLA,VWV,Rural,100233583.0,0.39179189342591864
XPP***202,941***1.0,Retail,I - Property,I01 - HABITAT.,302.75,Quarterly,C = 30-39,Physical person,FLA,VOV,Rural,FLA,VOV,Rural,9119801543.0,0.3916109780471519
SMQ***662,934***1.0,Retail,N - Accident,N05 - IND CIRC,45.16,Quarterly,D = 40-69,Physical person,FLA,VLI,Rural,FLA,VLI,Rural,8989459565.0,0.39119024595303215
ZUF***943,844***2.0,Retail,P - Liability,P01 - FAMILY P,50.48,Quarterly,D = 40-69,Physical person,FLA,VWV,Urban,FLA,VWV,Urban,901037484.0,0.39111033452079985
JHI***379,898***0.0,Retail,P - Liability,P01 - FAMILY P,90.83,Quarterly,D = 40-69,Physical person,FLA,VWV,Urban,FLA,VWV,Urban,8106056348.0,0.39031005219333825
LZR***616,811***1.0,Retail,P - Liability,P01 - FAMILY P,70.15,Quarterly,D = 40-69,Physical person,FLA,VOV,Rural,FLA,VOV,Rural,9698983734.0,0.390131374945892
FHQ***970,953***3.0,Retail,P - Liability,P01 - FAMILY P,55.07,Quarterly,D = 40-69,Physical person,FLA,VWV,Urban,FLA,VWV,Urban,4133104108.0,0.38950524258239044
UEC***509,953***7.0,Retail,P - Liability,P01 - FAMILY P,70.88,Quarterly,D = 40-69,Physical person,FLA,VOV,Urban,FLA,VOV,Rural,128989164.0,0.38915253469813704
XPZ***562,951***9.0,Retail,N - Accident,N05 - IND CIRC,77.16,Quarterly,D = 40-69,Physical person,FLA,VWV,Rural,FLA,VWV,Rural,8231207162.0,0.3886856907447328
XPE***737,917***7.0,Retail,P - Liability,P01 - FAMILY P,80.88,Quarterly,D = 40-69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,8611614078.0,0.38845642061296287
ZAJ***821,951***9.0,Retail,P - Liability,P01 - FAMILY P,78.71,Quarterly,D = 40-69,Physical person,FLA,VWV,Rural,FLA,VWV,Rural,8231207162.0,0.38729943428576064
TGH***597,651***1.0,Retail,I - Property,I01 - HABITAT.,126.97,Quarterly,D = 40-69,Physical person,FLA,VBR,Rural,WAL,WBR,Rural,8088493309999990.0,0.3869333030598415
VTJ***950,945***3.0,Retail,I - Property,I01 - HABITAT.,114.79,Quarterly,C = 30-39,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,114989841.0,0.386528656856799
CID***320,840***5.0,Retail,N - Accident,N05 - IND CIRC,56.66,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.3865026342146468
PSE***830,122***3.0,Retail,N - Accident,N05 - IND CIRC,54.57,Annually,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.38627669196050185
RKJ***083,949***2.0,Retail,A - Motor,A01 - TA/PRIVE,511.87,Quarterly,S = +69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,114989841.0,0.3852436607952234
HRA***929,978***2.0,Retail,N - Accident,N05 - IND CIRC,94.37,Quarterly,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,7907077426.0,0.3844230892018974
CHV***389,936***8.0,Retail,P - Liability,P01 - FAMILY P,47.91,Quarterly,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9080915401.0,0.3836555809162005
HBJ***823,926***8.0,Retail,P - Liability,P01 - FAMILY P,56.88,Quarterly,D = 40-69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,8611614078.0,0.3829651434341045
UNV***545,931***5.0,Retail,P - Liability,P01 - FAMILY P,74.83,Quarterly,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9064359811.0,0.38181278371964245
AWF***851,963***2.0,Retail,P - Liability,P01 - FAMILY P,47.52,Quarterly,B = 25-29,Physical person,FLA,VWV,Urban,FLA,VWV,Urban,8718102157.0,0.381587331000939
YVY***121,883***8.0,Retail,P - Liability,P01 - FAMILY P,93.54,Quarterly,D = 40-69,Physical person,WAL,WNA,Urban,WAL,WNA,Rural,6812887198.0,0.38136213980415234
IJC***065,904***8.0,Retail,P - Liability,P01 - FAMILY P,90.82,Quarterly,D = 40-69,Physical person,FLA,VWV,Rural,FLA,VWV,Rural,6322015467.0,0.3812006711734429
EMN***783,959***0.0,Retail,P - Liability,P01 - FAMILY P,49.28,Quarterly,B = 25-29,Physical person,FLA,VWV,Urban,FLA,VWV,Urban,8718102157.0,0.3811305673844098
ZHL***610,882***0.0,Retail,P - Liability,P01 - FAMILY P,90.83,Quarterly,C = 30-39,Physical person,BRU,BRU,Rural,WAL,WBR,Urban,6858299294.0,0.3805044567928649
IKU***045,408***4.0,Retail,A - Motor,A01 - TA/PRIVE,353.56,Quarterly,S = +69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,7202780981.0,0.3800628066021419
PTE***097,965***3.0,Retail,I - Property,I01 - HABITAT.,140.66,Quarterly,S = +69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,9314985846.0,0.3789494544720335
XRR***332,901***1.0,Retail,P - Liability,P01 - FAMILY P,72.66,Quarterly,D = 40-69,Physical person,FLA,VWV,Rural,FLA,VWV,Rural,6425517365.0,0.37852521284402463
TEZ***763,816***6.0,Retail,P - Liability,P01 - FAMILY P,57.82,Quarterly,S = +69,Physical person,FLA,VLI,Rural,FLA,VLI,Rural,6526055129999990.0,0.37843107761583217
SYN***956,955***5.0,Retail,I - Property,I01 - HABITAT.,311.38,Quarterly,C = 30-39,Physical person,FLA,VOV,Rural,FLA,VOV,Rural,7571641514.0,0.3782424891753853
HBF***992,949***2.0,Retail,I - Property,I01 - HABITAT.,40.29,Quarterly,D = 40-69,Physical person,WAL,WLG,Rural,WAL,WLG,Rural,8463822472.0,0.37688529181451
VQV***549,904***0.0,Retail,N - Accident,N05 - IND CIRC,75.84,Quarterly,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,5973690254.0,0.3763990472348035
GND***754,871***8.0,Retail,P - Liability,P01 - FAMILY P,93.55,Quarterly,D = 40-69,Physical person,WAL,WHT,Rural,WAL,WHT,Rural,1019366313.0,0.3762570898194847
KAW***020,891***4.0,Retail,P - Liability,P01 - FAMILY P,69.37,Quarterly,S = +69,Physical person,FLA,VOV,Rural,FLA,VOV,Rural,8196603272.0,0.3759988576384588
FAM***385,927***2.0,Retail,A - Motor,A01 - TA/PRIVE,334.14,Quarterly,S = +69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,114989841.0,0.3753399700975118
EOD***667,965***3.0,Retail,A - Motor,A01 - TA/PRIVE,416.61,Quarterly,S = +69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,9314985846.0,0.37527852407923673
MJS***542,899***2.0,Retail,A - Motor,A01 - TA/PRIVE,462.05,Quarterly,S = +69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,6132331826.0,0.37527545440031934
VOE***609,944***5.0,Retail,N - Accident,N05 - IND CIRC,119.49,Quarterly,D = 40-69,Physical person,FLA,VWV,Urban,FLA,VWV,Rural,9314985846.0,0.3750563060756996
QPA***117,958***2.0,Retail,P - Liability,P01 - FAMILY P,93.54,Quarterly,C = 30-39,Physical person,WAL,WLG,Rural,FLA,PTS,Urban,9315227891.0,0.37379481966219075
RUN***789,797***9.0,Retail,P - Liability,P01 - FAMILY P,93.55,Quarterly,D = 40-69,Physical person,FLA,VWV,Rural,FLA,VWV,Rural,8071975448.0,0.37360636909173983
JDH***994,936***8.0,Retail,I - Property,I01 - HABITAT.,96.52,Quarterly,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9080915401.0,0.37307927694622606
