Contract_number_masked,Customer_ID_masked,Customer_segment,Line_of_business,Product_type,Annual_premium,Payment_frequency,Customer_age,Customer_type,Customer_region,Customer_province,Customer_urbanization,Broker_region,Broker_province,Broker_urbanization,Broker_cor,probability_direct_debit
QPA***117,958***2.0,Retail,P - Liability,P01 - FAMILY P,93.54,Quarterly,C = 30-39,Physical person,WAL,WLG,Rural,FLA,PTS,Urban,9315227891.0,0.7126963
PBB***669,874***1.0,Retail,P - Liability,P01 - FAMILY P,90.83,Quarterly,C = 30-39,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,8808502235.0,0.6913393
NOG***602,863***2.0,Retail,P - Liability,P01 - FAMILY P,103.26,Quarterly,C = 30-39,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,7776034720000000.0,0.68491447
RNA***833,820***5.0,Retail,I - Property,I01 - HABITAT.,77.14,Quarterly,S = +69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,7776034720000000.0,0.68147445
DOT***949,969***1.0,Retail,N - Accident,N05 - IND CIRC,58.05,Quarterly,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.67775136
KMO***445,976***2.0,Retail,I - Property,I01 - HABITAT.,580.84,Quarterly,D = 40-69,Physical person,FLA,VLI,Rural,FLA,VLI,Rural,1.49065480699999e+16,0.6695827
SJY***585,949***7.0,Retail,P - Liability,P01 - FAMILY P,74.83,Quarterly,S = +69,Physical person,WAL,WHT,Rural,WAL,WBR,Rural,1002677162.0,0.66918373
RMS***529,958***4.0,Retail,P - Liability,P01 - FAMILY P,56.12,Quarterly,S = +69,Physical person,FLA,VWV,Urban,FLA,VWV,Urban,8718102157.0,0.6667833
ZPZ***563,890***4.0,Retail,P - Liability,P01 - FAMILY P,43.38,Quarterly,S = +69,Physical person,FLA,VLI,Rural,FLA,VLI,Rural,646706517.0,0.66214293
NIU***399,344***6.0,Retail,I - Property,I01 - HABITAT.,458.66,Quarterly,S = +69,Physical person,FLA,VLI,Rural,FLA,VLI,Rural,7604624328.0,0.6424407
YXN***475,971***4.0,Retail,I - Property,I01 - HABITAT.,49.97,Quarterly,D = 40-69,Physical person,WAL,WBR,Rural,FLA,PTS,Rural,9189199097.0,0.6409707
BQC***468,949***0.0,Retail,I - Property,I01 - HABITAT.,49.12,Quarterly,C = 30-39,Physical person,FLA,VWV,Rural,FLA,VWV,Rural,7242918993.0,0.63435644
WYX***606,969***1.0,Retail,I - Property,I01 - HABITAT.,121.14,Quarterly,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.6286641
REO***979,921***8.0,Retail,P - Liability,P01 - FAMILY P,56.12,Quarterly,D = 40-69,Physical person,WAL,WNA,Rural,WAL,WNA,Rural,9450207590000000.0,0.6283663
POA***523,951***7.0,Retail,A - Motor,A05 - CYCLO,199.7,Quarterly,S = +69,Physical person,FLA,VAN,Rural,FLA,VAN,Rural,193355949.0,0.6196846
NAL***892,927***8.0,Retail,N - Accident,N05 - IND CIRC,27.62,Quarterly,B = 25-29,Physical person,WAL,WHT,Urban,WAL,WHT,Urban,4825647501.0,0.61313146
NCC***479,305***1.0,Retail,P - Liability,P01 - FAMILY P,70.15,Quarterly,D = 40-69,Physical person,FLA,VWV,Urban,FLA,VWV,Urban,7384032353.0,0.6124768
IDO***319,955***9.0,Retail,P - Liability,P01 - FAMILY P,62.03,Quarterly,D = 40-69,Physical person,FLA,VOV,Urban,FLA,VOV,Rural,7571641514.0,0.61193603
IGX***740,953***0.0,Retail,P - Liability,P01 - FAMILY P,70.15,Quarterly,C = 30-39,Physical person,WAL,WHT,Rural,WAL,WNA,Rural,9870671947.0,0.61130184
ZMZ***219,795***2.0,Retail,I - Property,I01 - HABITAT.,1128.3,Annually,No age,Enterprise,BRU,BRU,Rural,FLA,PTS,Rural,7020361122.0,0.60916066
PGJ***528,852***1.0,Retail,N - Accident,N05 - IND CIRC,37.93,Quarterly,D = 40-69,Physical person,WAL,WHT,Urban,WAL,WHT,Urban,4825647501.0,0.6074386
FOU***143,865***8.0,Retail,N - Accident,N05 - IND CIRC,69.84,Quarterly,C = 30-39,Physical person,WAL,WHT,Rural,WAL,WHT,Rural,1085233983.0,0.60372084
EVN***887,810***6.0,Retail,N - Accident,N05 - IND CIRC,45.2,Quarterly,S = +69,Physical person,WAL,WNA,Rural,WAL,WHT,Rural,1085233983.0,0.60267264
PPQ***953,884***4.0,Retail,N - Accident,N05 - IND CIRC,42.85,Quarterly,D = 40-69,Physical person,FLA,VLI,Rural,FLA,VLI,Rural,6991305427.0,0.60045755
ILY***238,964***9.0,Retail,I - Property,I01 - HABITAT.,208.63,Quarterly,C = 30-39,Physical person,BRU,BRU,Rural,FLA,PTS,Rural,9189199097.0,0.5962054
CBU***945,559***8.0,Retail,A - Motor,A01 - TA/PRIVE,466.57,Quarterly,S = +69,Physical person,WAL,WHT,Rural,WAL,WHT,Rural,6622183834.0,0.59224904
ZXR***327,965***3.0,Retail,A - Motor,A01 - TA/PRIVE,1459.3,Quarterly,B = 25-29,Physical person,FLA,VWV,Rural,FLA,VWV,Rural,1.04108950799999e+16,0.59135157
LHZ***194,972***0.0,Retail,I - Property,I01 - HABITAT.,129.47,Quarterly,D = 40-69,Physical person,FLA,VLI,Rural,FLA,VLI,Rural,7604624328.0,0.58348554
